             mu          sigma          Media         Errore
            0.6            0.1        24.3379      0.0613477
            0.6           0.15         10.344      0.0330485
            0.6            0.2        5.49045      0.0185601
            0.6            0.3        1.59785     0.00845053
            0.6           0.35       0.680843     0.00602805
            0.6            0.4       0.173031     0.00433044
            0.6           0.45     -0.0932567     0.00265817
            0.6            0.5      -0.218088     0.00159972
            0.6           0.55       -0.27968     0.00138273
            0.6            0.6      -0.314552     0.00109353
            0.6           0.65      -0.325954     0.00103392
            0.6            0.7      -0.329956    0.000995106
            0.6           0.75      -0.323529     0.00148288
            0.6            0.8      -0.311573     0.00177022
            0.6           0.85      -0.290165     0.00265453
            0.6            0.9      -0.255741     0.00315075
            0.6           0.95      -0.206797     0.00416632
            0.6              1      -0.143448     0.00459929
            0.6           1.05     -0.0529793     0.00631121
            0.6            1.1      0.0421647     0.00749002
            0.6           1.15       0.175267     0.00815001
           0.65           0.05        99.4859       0.257078
           0.65            0.1        24.0063      0.0713017
           0.65           0.15        10.1958      0.0330275
           0.65            0.2         5.3879      0.0163342
           0.65            0.3        1.67276     0.00804901
           0.65           0.35       0.764623       0.005581
           0.65            0.4       0.205052     0.00444889
           0.65           0.45      -0.107594     0.00297715
           0.65            0.5      -0.266435       0.001911
           0.65           0.55      -0.337874     0.00109179
           0.65            0.6      -0.368031    0.000801663
           0.65           0.65      -0.371481    0.000996187
           0.65            0.7      -0.365332     0.00100734
           0.65           0.75      -0.347034     0.00146097
           0.65            0.8      -0.322762     0.00198674
           0.65           0.85      -0.284447     0.00286884
           0.65            0.9      -0.237795      0.0032685
           0.65           0.95      -0.179224     0.00381501
           0.65              1      -0.106764     0.00550675
           0.65           1.05    -0.00478334     0.00607661
           0.65            1.1       0.124607      0.0081014
           0.65           1.15       0.273901      0.0106198
            0.7           0.05        99.0503       0.266334
            0.7           0.15        10.0856      0.0283604
            0.7            0.2        5.24139       0.016632
            0.7           0.35       0.821215      0.0054261
            0.7            0.4       0.240332      0.0042807
            0.7           0.45      -0.113423     0.00295331
            0.7            0.5      -0.292504     0.00180259
            0.7           0.55      -0.376831     0.00126921
            0.7            0.6      -0.407378    0.000746076
            0.7           0.65      -0.406608    0.000802763
