#   STEP:  TEMPERATURE:
           0    -5.67638
           0    -5.48638
           0    -5.55111
           0    -5.53696
           0    -5.47909
           0    -5.58413
           0    -5.55245
           0    -5.57346
           0    -5.57415
           0    -5.59337
           0    -5.42306
           0      -5.609
           0    -5.53773
           0    -5.71526
           0    -5.55223
           0    -5.56821
           0    -5.51526
           0    -5.50376
           0     -5.6326
           0    -5.53229
           0    -5.56021
           0    -5.59295
           0    -5.62855
           0    -5.55661
           0    -5.50594
           0     -5.4684
           0    -5.50835
           0    -5.44154
           0    -5.43544
           0    -5.36367
           0    -5.36819
           0    -5.48519
           0    -5.40187
           0    -5.45587
           0    -5.44109
           0    -5.50958
           0    -5.56585
           0     -5.5889
           0    -5.54235
           0    -5.56372
           0    -5.61068
           0    -5.54121
           0    -5.46524
           0    -5.44269
           0    -5.50949
           0    -5.45382
           0    -5.47438
           0     -5.4819
           0    -5.43911
           0    -5.44573
           0    -5.54416
           0     -5.5361
           0    -5.57476
           0    -5.55041
           0    -5.58853
           0    -5.48736
           0    -5.48349
           0    -5.55502
           0    -5.46828
           0    -5.49688
           0    -5.53066
           0    -5.56376
           0    -5.48637
           0    -5.49469
           0    -5.53843
           0    -5.47726
           0    -5.49344
           0    -5.53165
           0    -5.46605
           0    -5.59485
           0    -5.61689
           0    -5.57672
           0    -5.52668
           0    -5.65981
           0    -5.64995
           0    -5.68262
           0    -5.66359
           0    -5.68926
           0    -5.62971
           0    -5.68509
           0    -5.61934
           0    -5.70846
           0    -5.73189
           0    -5.63333
           0    -5.70081
           0    -5.67364
           0    -5.58912
           0    -5.48486
           0    -5.54588
           0    -5.51596
           0    -5.48099
           0    -5.53394
           0     -5.4506
           0    -5.48584
           0    -5.46441
           0    -5.42019
           0    -5.53778
           0    -5.49181
           0    -5.49518
           0    -5.48242
           0    -5.48583
           0    -5.53628
           0    -5.47256
           0    -5.46698
           0    -5.49146
           0    -5.45802
           0    -5.41295
           0    -5.40482
           0    -5.37811
           0    -5.32484
           0    -5.35291
           0    -5.32968
           0    -5.33525
           0    -5.28193
           0    -5.31155
           0    -5.31051
           0    -5.28257
           0    -5.33285
           0    -5.42834
           0     -5.4271
           0    -5.47206
           0     -5.5407
           0    -5.50975
           0    -5.48633
           0    -5.35222
           0    -5.47206
           0    -5.43584
           0    -5.51709
           0    -5.54188
           0     -5.5505
           0    -5.52145
           0     -5.4508
           0     -5.3762
           0     -5.4746
           0    -5.42836
           0    -5.44184
           0     -5.5171
           0    -5.46267
           0    -5.48166
           0    -5.44673
           0     -5.5124
           0    -5.50576
           0     -5.4752
           0    -5.50464
           0    -5.50552
           0    -5.45604
           0    -5.50573
           0    -5.55669
           0    -5.53825
           0    -5.58435
           0     -5.6051
           0    -5.63667
           0    -5.49085
           0    -5.46244
           0    -5.56364
           0    -5.46813
           0    -5.60378
           0    -5.67592
           0    -5.73126
           0    -5.64755
           0    -5.55975
           0    -5.63336
           0    -5.56031
           0    -5.49916
           0    -5.53952
           0    -5.49727
           0    -5.62023
           0    -5.55221
           0    -5.50234
           0    -5.56828
           0    -5.57839
           0      -5.514
           0    -5.52924
           0     -5.5456
           0     -5.5648
           0    -5.53884
           0    -5.54903
           0    -5.55469
           0    -5.53465
           0     -5.5286
           0    -5.57534
           0    -5.56682
           0    -5.60077
           0    -5.50865
           0    -5.48417
           0    -5.50939
           0    -5.59902
           0    -5.50304
           0    -5.53623
           0    -5.52703
           0    -5.66409
           0    -5.64048
           0    -5.58403
           0    -5.49214
           0    -5.47084
           0    -5.52378
           0    -5.56895
           0     -5.5265
           0    -5.53242
           0    -5.49022
           0    -5.54408
           0    -5.46036
           0    -5.43447
           0    -5.47867
           0    -5.49504
           0    -5.48577
           0    -5.42941
           0    -5.38992
           0    -5.43534
           0    -5.49567
           0    -5.52543
           0    -5.50485
           0    -5.56701
           0    -5.67173
           0    -5.63655
           0    -5.60641
           0    -5.58444
           0    -5.57447
           0    -5.52855
           0    -5.47797
           0    -5.47678
           0    -5.41432
           0    -5.49851
           0    -5.34588
           0    -5.38576
           0    -5.42406
           0    -5.41147
           0    -5.24141
           0    -5.30287
           0    -5.39389
           0    -5.35449
           0    -5.38603
           0    -5.41577
           0      -5.272
           0    -5.34537
           0    -5.42014
           0    -5.39347
           0    -5.29606
           0     -5.2911
           0    -5.39583
           0    -5.28155
           0    -5.35846
           0    -5.35037
           0     -5.3731
           0    -5.40828
           0     -5.4249
           0    -5.40261
           0    -5.42071
           0    -5.46427
           0    -5.45981
           0    -5.43713
           0    -5.47022
           0    -5.37568
           0    -5.45396
           0    -5.47263
           0    -5.49967
           0    -5.54214
           0    -5.53423
           0    -5.53825
           0    -5.50126
           0    -5.41251
           0    -5.43814
           0    -5.40795
           0    -5.43864
           0    -5.42433
           0    -5.38176
           0    -5.38405
           0    -5.51223
           0    -5.52149
           0     -5.5739
           0    -5.47506
           0    -5.45001
           0    -5.48436
           0    -5.54532
           0    -5.50268
           0    -5.55153
           0    -5.55643
           0    -5.49726
           0    -5.41378
           0    -5.50672
           0     -5.4829
           0    -5.51293
           0    -5.44811
           0    -5.55369
           0    -5.56759
           0    -5.44003
           0    -5.42902
           0    -5.50898
           0    -5.51066
           0    -5.42797
           0    -5.52544
           0    -5.53414
           0    -5.53657
           0    -5.56176
           0    -5.59793
           0    -5.64572
           0    -5.61839
           0    -5.59407
           0    -5.59919
           0    -5.62295
           0    -5.55417
           0    -5.55753
           0    -5.51855
           0    -5.38733
           0    -5.43515
           0     -5.4386
           0    -5.45391
           0    -5.46001
           0    -5.46164
           0    -5.46987
           0    -5.47053
           0    -5.52792
           0    -5.47767
           0    -5.62074
           0    -5.73976
           0    -5.75741
           0    -5.70213
           0    -5.69236
           0    -5.63414
           0     -5.5596
           0    -5.55262
           0    -5.53519
           0    -5.49847
           0    -5.51472
           0    -5.48736
           0    -5.49598
           0    -5.48179
           0    -5.44632
           0    -5.45137
           0     -5.4204
           0    -5.44655
           0    -5.45873
           0    -5.55817
           0    -5.58773
           0    -5.48272
           0    -5.56409
           0    -5.63219
           0    -5.65294
           0    -5.64945
           0    -5.55911
           0    -5.51685
           0    -5.54358
           0    -5.65722
           0     -5.5375
           0     -5.5349
           0    -5.46183
           0    -5.55285
