#   STEP:  TEMPERATURE:
           0    -7.47922
           0    -7.48063
           0    -7.48272
           0    -7.48418
           0    -7.48533
           0    -7.48649
           0    -7.48734
           0    -7.48885
           0    -7.49036
           0    -7.49221
           0     -7.4934
           0    -7.49524
           0    -7.49676
           0    -7.49859
           0    -7.50074
           0    -7.50191
           0    -7.50307
           0    -7.50421
           0    -7.50534
           0    -7.50645
           0    -7.50786
           0    -7.50925
           0     -7.5103
           0    -7.51165
           0    -7.51329
           0    -7.51427
           0    -7.51587
           0     -7.5168
           0    -7.51803
           0    -7.51923
           0    -7.52073
           0    -7.52189
           0    -7.52302
           0    -7.52283
           0    -7.52391
           0    -7.52465
           0    -7.52602
           0    -7.52769
           0    -7.52902
           0    -7.52968
           0    -7.53066
           0    -7.53129
           0    -7.53289
           0    -7.53448
           0    -7.53411
           0    -7.53537
           0    -7.53759
           0    -7.53884
           0    -7.54008
           0    -7.54101
           0    -7.54226
           0     -7.5432
           0    -7.54414
           0    -7.54607
           0     -7.5467
           0    -7.54703
           0    -7.54801
           0    -7.54869
           0     -7.5497
           0    -7.55072
           0    -7.55209
           0    -7.55347
           0    -7.55454
           0    -7.55562
           0     -7.5564
           0    -7.55848
           0    -7.55993
           0    -7.56106
           0     -7.5622
           0    -7.56367
           0    -7.56451
           0    -7.56599
           0    -7.56715
           0    -7.56798
           0    -7.56912
           0    -7.57059
           0    -7.57171
           0     -7.5725
           0    -7.57295
           0    -7.57403
           0    -7.57509
           0    -7.57644
           0    -7.57713
           0    -7.57875
           0    -7.57937
           0     -7.5806
           0    -7.58115
           0    -7.58199
           0    -7.58343
           0     -7.5845
           0    -7.58521
           0    -7.58587
           0    -7.58681
           0     -7.5877
           0    -7.58822
           0    -7.58837
           0    -7.58944
           0    -7.59014
           0    -7.59111
           0    -7.59139
           0    -7.59162
           0     -7.5918
           0    -7.59259
           0    -7.59268
           0    -7.59241
           0    -7.59274
           0    -7.59302
           0    -7.59295
           0    -7.59252
           0     -7.5927
           0    -7.59349
           0    -7.59329
           0    -7.59305
           0    -7.59279
           0    -7.59218
           0    -7.59253
           0     -7.5922
           0    -7.59251
           0     -7.5928
           0    -7.59244
           0    -7.59207
           0    -7.59201
           0     -7.5913
           0    -7.59123
           0    -7.59084
           0    -7.59046
           0    -7.59008
           0    -7.58905
           0    -7.58804
           0    -7.58736
           0    -7.58702
           0    -7.58669
           0    -7.58605
           0    -7.58705
           0     -7.5871
           0    -7.58684
           0    -7.58564
           0    -7.58575
           0    -7.58524
           0    -7.58508
           0    -7.58494
           0    -7.58451
           0    -7.58443
           0    -7.58374
           0    -7.58372
           0    -7.58308
           0    -7.58248
           0    -7.58223
           0    -7.58234
           0    -7.58216
           0    -7.58265
           0    -7.58286
           0    -7.58245
           0    -7.58304
           0    -7.58269
           0    -7.58303
           0    -7.58339
           0    -7.58347
           0    -7.58358
           0    -7.58469
           0    -7.58454
           0    -7.58539
           0    -7.58498
           0    -7.58524
           0    -7.58586
           0    -7.58651
           0    -7.58718
           0    -7.58756
           0    -7.58829
           0    -7.58904
           0    -7.58982
           0    -7.59063
           0     -7.5908
           0    -7.59198
           0     -7.5935
           0    -7.59407
           0    -7.59465
           0     -7.5959
           0    -7.59619
           0    -7.59747
           0    -7.59876
           0    -7.59908
           0    -7.59974
           0    -7.60138
           0    -7.60237
           0    -7.60402
           0    -7.60534
           0    -7.60601
           0      -7.607
           0    -7.60701
           0    -7.60863
           0    -7.60992
           0    -7.61119
           0    -7.61277
           0    -7.61335
           0    -7.61423
           0    -7.61476
