#   BLOCK:  TEMPERATURE:
           0     1.14034
           0     1.14215
           0     1.14395
           0     1.14573
           0      1.1475
           0     1.14925
           0     1.15097
           0     1.15267
           0     1.15435
           0     1.15599
           0      1.1576
           0     1.15918
           0     1.16072
           0     1.16223
           0     1.16369
           0     1.16512
           0      1.1665
           0     1.16784
           0     1.16913
           0     1.17038
           0     1.17159
           0     1.17275
           0     1.17386
           0     1.17493
           0     1.17595
           0     1.17693
           0     1.17786
           0     1.17874
           0     1.17958
           0     1.18038
           0     1.18113
           0     1.18183
           0      1.1825
           0     1.18312
           0     1.18371
           0     1.18425
           0     1.18475
           0     1.18521
           0     1.18564
           0     1.18603
           0     1.18639
           0     1.18671
           0       1.187
           0     1.18726
           0     1.18749
           0     1.18769
           0     1.18786
           0     1.18801
           0     1.18812
           0     1.18822
           0     1.18829
           0     1.18834
           0     1.18836
           0     1.18837
           0     1.18835
           0     1.18832
           0     1.18827
           0      1.1882
           0     1.18812
           0     1.18802
           0     1.18791
           0     1.18778
           0     1.18764
           0     1.18749
           0     1.18733
           0     1.18715
           0     1.18697
           0     1.18677
           0     1.18657
           0     1.18635
           0     1.18613
           0      1.1859
           0     1.18566
           0     1.18541
           0     1.18516
           0      1.1849
           0     1.18463
           0     1.18436
           0     1.18408
           0     1.18379
           0      1.1835
           0      1.1832
           0     1.18289
           0     1.18258
           0     1.18226
           0     1.18193
           0      1.1816
           0     1.18126
           0     1.18091
           0     1.18055
           0     1.18018
           0     1.17981
           0     1.17942
           0     1.17903
           0     1.17863
           0     1.17821
           0     1.17779
           0     1.17736
           0     1.17691
           0     1.17645
           0     1.17598
           0      1.1755
           0       1.175
           0     1.17449
           0     1.17397
           0     1.17343
           0     1.17287
           0      1.1723
           0     1.17171
           0     1.17111
           0     1.17049
           0     1.16985
           0     1.16919
           0     1.16852
           0     1.16782
           0     1.16711
           0     1.16638
           0     1.16563
           0     1.16486
           0     1.16407
           0     1.16326
           0     1.16243
           0     1.16158
           0     1.16071
           0     1.15982
           0     1.15892
           0     1.15799
           0     1.15704
           0     1.15608
           0      1.1551
           0      1.1541
           0     1.15308
           0     1.15205
           0     1.15101
           0     1.14994
           0     1.14887
           0     1.14778
           0     1.14667
           0     1.14556
           0     1.14443
           0      1.1433
           0     1.14215
           0     1.14099
           0     1.13983
           0     1.13866
           0     1.13748
           0      1.1363
           0     1.13511
           0     1.13392
           0     1.13272
           0     1.13152
           0     1.13032
           0     1.12912
           0     1.12791
           0     1.12671
           0      1.1255
           0     1.12429
           0     1.12309
           0     1.12188
           0     1.12067
           0     1.11946
           0     1.11826
           0     1.11705
           0     1.11584
           0     1.11463
           0     1.11343
           0     1.11222
           0     1.11101
           0      1.1098
           0     1.10859
           0     1.10738
           0     1.10616
           0     1.10495
           0     1.10373
           0     1.10251
           0     1.10128
           0     1.10005
           0     1.09882
           0     1.09759
           0     1.09635
           0     1.09511
           0     1.09387
           0     1.09262
           0     1.09137
           0     1.09012
           0     1.08886
           0      1.0876
           0     1.08634
           0     1.08508
           0     1.08382
           0     1.08256
           0      1.0813
           0     1.08004
           0     1.07878
           0     1.07753
           0     1.07629
           0     1.07505
           0     1.07382
           0      1.0726
           0     1.07139
           0     1.07019
           0     1.06901
           0     1.06785
           0     1.06671
           0     1.06558
           0     1.06448
           0      1.0634
           0     1.06234
           0     1.06131
           0     1.06032
           0     1.05935
           0     1.05841
           0     1.05751
           0     1.05665
           0     1.05582
           0     1.05503
           0     1.05428
           0     1.05357
           0     1.05291
           0     1.05229
           0     1.05172
           0      1.0512
           0     1.05072
           0     1.05029
           0     1.04991
           0     1.04958
           0     1.04931
           0     1.04908
           0     1.04891
           0     1.04878
           0     1.04871
           0     1.04869
           0     1.04872
           0     1.04881
           0     1.04895
           0     1.04914
           0     1.04938
           0     1.04967
           0     1.05001
           0      1.0504
           0     1.05084
           0     1.05132
           0     1.05186
           0     1.05244
           0     1.05306
           0     1.05373
           0     1.05444
           0     1.05519
           0     1.05598
           0     1.05681
           0     1.05768
           0     1.05858
           0     1.05952
           0     1.06048
           0     1.06148
           0     1.06251
           0     1.06357
           0     1.06465
           0     1.06575
           0     1.06688
           0     1.06803
           0     1.06919
           0     1.07037
           0     1.07157
           0     1.07278
           0       1.074
           0     1.07523
           0     1.07647
           0     1.07772
           0     1.07897
           0     1.08023
           0     1.08148
           0     1.08274
           0     1.08399
           0     1.08525
           0      1.0865
           0     1.08774
           0     1.08898
           0     1.09021
           0     1.09143
           0     1.09264
           0     1.09384
           0     1.09502
           0      1.0962
           0     1.09736
           0      1.0985
