#   STEP:  TEMPERATURE:
           0    -7.41769
           0    -7.36831
           0    -7.43861
           0     -7.4776
           0    -7.46098
           0    -7.49598
           0    -7.44838
           0    -7.40567
           0    -7.50227
           0    -7.57575
           0    -7.41721
           0     -7.4391
           0    -7.50003
           0    -7.51306
           0    -7.48917
           0     -7.4771
           0    -7.49018
           0    -7.44314
           0    -7.53625
           0    -7.51766
           0     -7.5049
           0    -7.50687
           0    -7.50569
           0     -7.5108
           0    -7.39616
           0    -7.40557
           0    -7.47051
           0    -7.38008
           0    -7.41167
           0    -7.48674
           0    -7.49884
           0    -7.50068
           0    -7.48563
           0    -7.58928
           0    -7.60234
           0    -7.58868
           0    -7.68872
           0    -7.68479
           0    -7.63114
           0    -7.53706
           0    -7.53246
           0    -7.58476
           0    -7.57608
           0    -7.62736
           0    -7.60931
           0    -7.58326
           0    -7.64679
           0    -7.63928
           0    -7.65799
           0    -7.65683
           0    -7.63211
           0    -7.56204
           0    -7.63046
           0    -7.53217
           0    -7.55741
           0    -7.59548
           0    -7.57535
           0    -7.65524
           0    -7.65632
           0    -7.76819
           0    -7.70573
           0    -7.67073
           0    -7.71329
           0    -7.72308
           0    -7.65611
           0    -7.64342
           0    -7.65277
           0    -7.67149
           0    -7.66894
           0    -7.66787
           0    -7.69711
           0    -7.64943
           0    -7.66106
           0     -7.6352
           0     -7.5877
           0    -7.47953
           0    -7.41446
           0     -7.4039
           0    -7.39879
           0     -7.3687
           0    -7.46608
           0    -7.51015
           0    -7.54499
           0    -7.49345
           0    -7.43548
           0    -7.50183
           0    -7.54545
           0     -7.4768
           0    -7.51043
           0    -7.50249
           0    -7.54722
           0    -7.54485
           0    -7.52368
           0    -7.50233
           0    -7.47897
           0    -7.52158
           0     -7.5736
           0    -7.62068
           0     -7.6102
           0    -7.55482
           0    -7.40502
           0    -7.48643
           0    -7.50571
           0    -7.51445
           0    -7.47999
           0    -7.41023
           0    -7.41717
           0    -7.38868
           0    -7.44781
           0    -7.47463
           0    -7.54189
           0     -7.5797
           0    -7.57914
           0    -7.59498
           0    -7.61108
           0    -7.62987
           0     -7.5677
           0    -7.57456
           0    -7.54119
           0    -7.57076
           0    -7.54264
           0     -7.5102
           0    -7.50565
           0    -7.48794
           0    -7.51458
           0    -7.57313
           0    -7.60506
           0    -7.63845
           0     -7.7255
           0     -7.6738
           0    -7.69151
           0    -7.61894
           0    -7.57836
           0     -7.6241
           0    -7.63535
           0    -7.61789
           0    -7.64072
           0    -7.72219
           0    -7.75833
           0    -7.72498
           0    -7.66518
           0    -7.62952
           0    -7.64546
           0    -7.63065
           0    -7.67873
           0    -7.69333
           0    -7.70659
           0    -7.74817
           0    -7.67898
           0     -7.6791
           0    -7.70373
           0    -7.69228
           0    -7.68288
           0    -7.65583
           0    -7.67226
           0    -7.77608
           0    -7.74309
           0    -7.74839
           0    -7.72212
           0    -7.71666
           0    -7.58461
           0    -7.60987
           0    -7.51478
           0    -7.50132
           0    -7.55309
           0    -7.57853
           0    -7.47252
           0     -7.4908
           0    -7.61396
           0     -7.6533
           0    -7.65757
           0     -7.6847
           0    -7.71711
           0     -7.7109
           0    -7.70566
           0    -7.66302
           0    -7.60108
